Date,Close,High,Low,Open,Volume
3/3/2010,16.89872551,17.01026826,16.73141082,16.78718163,2736657
3/4/2010,16.89872551,16.89872551,16.89872551,16.89872551,0
3/7/2010,17.17757797,17.40066342,17.06603525,17.06603525,4362619
3/8/2010,17.1218071,17.28912176,17.1218071,17.17757903,2203255
3/9/2010,17.28911781,17.40066052,17.17757511,17.17757511,3617428
3/10/2010,17.23334885,17.3448927,17.17757805,17.28912077,2465236
3/11/2010,17.28911781,17.34488973,17.17757511,17.17757511,2781835
3/14/2010,17.3448925,17.40066329,17.28912057,17.3448925,2135390
3/15/2010,17.45643997,17.51221078,17.28912528,17.28912528,4689475
3/16/2010,17.40066338,17.5122061,17.40066338,17.4564353,1907157
3/17/2010,17.40066338,17.40066338,17.40066338,17.40066338,0
3/18/2010,17.95837593,17.95837593,17.56797586,17.56797586,8464104
3/21/2010,18.01415253,18.12569641,17.90260978,17.90260978,5563457
3/22/2010,18.12569237,18.23723509,17.95837771,17.95837771,4136833
3/23/2010,18.06991959,18.29300503,18.06991959,18.18146231,4358128
3/24/2010,18.18146515,18.23723709,18.12569435,18.18146515,3900353
3/25/2010,18.34877777,18.4045497,18.23723617,18.29300697,5337816
3/28/2010,18.90649223,18.90649223,18.40454938,18.46032018,6743306
3/29/2010,18.90649223,18.90649223,18.90649223,18.90649223,0
3/30/2010,18.90649223,18.90649223,18.90649223,18.90649223,0
3/31/2010,19.1853466,19.29689046,19.07380501,19.07380501,5094191
4/1/2010,19.07381058,19.1853522,18.90649701,19.1853522,5597746
4/4/2010,19.07381058,19.07381058,19.07381058,19.07381058,0
4/5/2010,19.07381058,19.07381058,19.07381058,19.07381058,0
4/6/2010,18.73918152,19.07380978,18.68340957,19.07380978,5193327
4/7/2010,18.34877777,18.85072063,18.34877777,18.85072063,5024388
4/8/2010,18.57186127,18.57186127,18.23723313,18.34877471,3082711
4/11/2010,18.90649223,18.96226303,18.51609211,18.62763484,5383457
4/12/2010,19.01803589,19.12957862,18.85072122,18.90649315,4933284
4/13/2010,18.90649223,19.07380576,18.79494837,19.01803496,3917005
4/14/2010,18.85071945,19.01803411,18.73917673,18.85071945,4954073
4/15/2010,18.90649223,18.96226303,18.79494837,18.8507203,2951128
4/18/2010,18.73918152,18.85072427,18.62763876,18.85072427,2741428
4/19/2010,18.23723793,18.73917971,18.06992325,18.62763696,6241569
4/20/2010,18.01415253,18.29300997,17.84683897,18.18146722,4890637
4/21/2010,17.79106331,18.18146226,17.73529138,18.06991954,3193244
4/22/2010,17.84683418,17.9583769,17.4006633,17.79106339,3638083
4/25/2010,17.84683418,17.84683418,17.84683418,17.84683418,0
4/26/2010,17.84683418,17.84683418,17.84683418,17.84683418,0
4/27/2010,18.85071945,18.85071945,18.57186321,18.627634,3180791
4/28/2010,18.68340874,18.85072343,18.40455243,18.85072343,3947095
4/29/2010,18.5160923,18.5160923,18.12569331,18.23723604,4232172
5/2/2010,18.5160923,18.5160923,18.5160923,18.5160923,0
5/3/2010,18.57186127,18.79494556,18.51608934,18.68340285,2415174
5/4/2010,18.5160923,18.62763503,18.40454957,18.57186423,1817312
5/5/2010,18.46032143,18.6834069,18.40455062,18.6276361,3006745
5/6/2010,18.23723793,18.46032228,18.12569519,18.29300873,4028685
5/9/2010,18.23723793,18.23723793,18.23723793,18.23723793,0
5/10/2010,18.29300499,18.29300499,17.56797674,17.62374867,4837308
5/11/2010,18.34877777,18.51609244,18.23723617,18.4045497,3258055
5/12/2010,18.12569237,18.40454861,18.06992044,18.18146316,3285003
5/13/2010,18.12569237,18.34877668,17.95837771,18.18146316,2122439
5/16/2010,17.73529053,17.79106245,17.56797589,17.6795186,2244462
5/17/2010,17.73529053,17.90260403,17.34489159,17.6795186,4563311
5/18/2010,17.56797981,17.67952255,17.40066627,17.56797981,6724381
5/19/2010,17.95837593,17.95837593,17.67951858,17.67951858,4837860
5/20/2010,17.67951965,17.79106351,17.51220614,17.62374886,4079649
5/23/2010,17.40066338,17.5122061,17.17757793,17.4564353,3409477
5/24/2010,17.45643997,17.51221078,17.23335334,17.45643997,4887501
5/25/2010,17.51220322,17.567974,17.12180319,17.51220322,6967126
5/26/2010,17.51220322,17.51220322,17.51220322,17.51220322,0
5/27/2010,16.61986923,16.84295474,16.45255453,16.61986923,5279879
5/30/2010,16.61986923,16.61986923,16.61986923,16.61986923,0
5/31/2010,16.61986923,16.61986923,16.61986923,16.61986923,0
6/1/2010,17.23334885,17.3448927,17.17757805,17.17757805,2094128
6/2/2010,16.67563629,17.17757797,16.67563629,17.17757797,3610447
6/3/2010,16.73141098,16.89872567,16.50832549,16.50832549,2142414
6/6/2010,16.50832367,16.50832367,16.2852382,16.39678093,2284122
6/7/2010,16.50832367,16.6198664,16.39678093,16.50832367,1362275
6/8/2010,16.61986923,16.73141199,16.39678372,16.45255453,3078426
6/9/2010,16.73141098,16.78718179,16.56409743,16.61986823,2436821
6/10/2010,17.01026535,17.06603615,16.78717876,16.84295069,2912556
6/13/2010,17.40066338,17.5122061,17.28912065,17.28912065,3519746
6/14/2010,17.62375069,17.73529342,17.28912249,17.34489442,3864415
6/15/2010,17.73529053,17.95837596,17.6795186,17.73529053,4090715
6/16/2010,17.62375069,17.79106535,17.45643715,17.79106535,2536762
6/17/2010,17.56797981,17.84683723,17.56797981,17.79106643,2179640
6/20/2010,17.51220322,17.73528862,17.51220322,17.6795167,1497319
6/21/2010,17.56797981,17.67952255,17.40066627,17.51220901,2530938
6/22/2010,17.62375069,17.73529342,17.51220795,17.67952149,3599303
6/23/2010,17.3448925,17.56797681,17.28912057,17.45643522,2680502
6/24/2010,17.28911781,17.28911781,17.01026162,17.28911781,3729345
6/27/2010,17.28911781,17.28911781,17.28911781,17.28911781,0
6/28/2010,17.28911781,17.28911781,17.28911781,17.28911781,0
